163	1,44	1.156	10,20	8.936	2,45	2.915	29,85	Grupo 3	Grupo 3	0,55	0,51	2,00	0,00	0,00
28	2,33	131	10,92	816	1,28	336	29,67	Grupo 1	Grupo 3	0,38	0,38	0,00	0,00	0,00
371	3,75	1.824	18,46	6.289	4,21	2.740	29,54	Grupo 4	Grupo 5	0,55	0,47	26,90	0,00	0,80
45	1,80	370	14,76	956	1,20	545	30,76	Grupo 4	Grupo 3	0,54	0,52	0,00	0,00	0,00
91	1,63	622	11,12	4.663	3,74	1.155	30,30	Grupo 3	Grupo 3	0,53	0,43	5,30	0,00	0,00
38	2,03	244	13,04	1.287	1,82	443	31,50	Grupo 1	Grupo 3	0,51	0,48	0,00	0,00	0,00
10	1,01	43	4,34	1.366	1,57	107	33,68	Grupo 1	Grupo 1	0,57	0,54	0,00	0,00	0,00
397	3,90	1.516	14,91	8.660	2,10	2.050	29,12	Grupo 2	Grupo 2	0,53	0,41	14,60	0,00	1,10
70	4,59	270	17,70	822	0,75	390	30,38	Grupo 5	Grupo 5	0,49	0,44	36,30	0,00	0,00
30	2,23	209	15,50	829	1,30	333	31,59	Grupo 3	Grupo 3	0,53	0,36	0,00	0,00	0,00
43	3,63	187	15,81	688	3,90	239	29,54	Grupo 2	Grupo 2	0,49	0,42	32,90	0,00	0,00
85	1,74	713	14,63	3.856	0,69	937	29,88	Grupo 3	Grupo 3	0,64	0,45	3,70	0,00	1,50
26	1,89	219	15,93	716	4,80	297	31,54	Grupo 4	Grupo 3	0,47	0,35	0,00	0,00	0,00
156	3,13	562	11,27	7.123	1,24	1.260	29,73	Grupo 2	Grupo 2	0,42	0,42	0,00	0,00	0,00
35	2,45	237	16,60	901	0,61	268	30,21	Grupo 4	Grupo 3	0,53	0,41	0,00	0,00	0,00
280	3,77	1.351	18,21	3.305	1,65	1.982	30,01	Grupo 4	Grupo 4	0,53	0,46	17,50	0,00	0,00
43	4,25	200	19,76	359	0,69	379	23,90	Grupo 5	Grupo 5	0,40	0,38	6,90	0,00	0,00
32	3,52	204	22,42	374	0,58	237	32,21	Grupo 3	Grupo 3	0,48	0,53	0,00	0,00	0,00
527	0,78	3.607	5,33	82.334	2,02	14.276	26,79	Grupo 1	Grupo 1	0,49	0,47	1,70	0,00	0,00
260	2,53	1.343	13,06	8.837	1,37	2.670	27,70	Grupo 4	Grupo 3	0,46	0,39	20,90	0,00	0,00
38	1,92	306	15,49	502	1,75	616	30,42	Grupo 3	Grupo 3	0,48	0,43	0,00	0,00	0,00
251	1,22	1.638	7,97	25.587	4,30	4.075	28,16	Grupo 1	Grupo 1	0,53	0,50	3,70	0,00	0,00
36	2,62	195	14,19	1.020	0,34	370	30,97	Grupo 2	Grupo 2	0,51	0,53	20,60	0,00	0,00
402	2,22	2.193	12,13	14.444	1,83	6.158	29,41	Grupo 3	Grupo 3	0,58	0,51	8,30	0,00	3,20
208	2,95	1.388	19,70	4.917	1,73	2.019	30,00	Grupo 3	Grupo 3	0,55	0,45	13,50	0,00	0,00
74	4,18	334	18,85	962	2,75	484	31,32	Grupo 4	Grupo 4	0,55	0,42	25,60	0,00	8,10
57	4,94	209	18,11	520	1,65	326	29,99	Grupo 3	Grupo 3	0,46	0,42	0,00	0,00	0,00
326	3,15	1.554	15,02	10.456	1,55	2.614	28,81	Grupo 4	Grupo 4	0,53	0,46	10,20	0,00	0,50
65	4,19	283	18,22	623	2,21	558	31,18	Grupo 3	Grupo 4	0,55	0,47	16,40	0,00	0,00
910	12,03	1.913	25,28	5.202	2,73	2.732	31,72	Grupo 5	Grupo 5	0,60	0,55	20,90	0,00	24,20
154	3,12	763	15,45	8.196	1,79	1.092	30,87	Grupo 2	Grupo 2	0,53	0,46	15,00	0,00	0,00
1.100	1,81	6.031	9,95	54.834	2,36	13.557	28,00	Grupo 3	Grupo 1	0,62	0,52	6,20	0,00	0,40
192	2,24	1.264	14,75	5.041	0,62	2.384	29,80	Grupo 3	Grupo 3	0,53	0,52	8,10	0,00	1,80
37	2,24	215	13,04	673	1,41	420	29,07	Grupo 3	Grupo 3	0,48	0,43	0,00	0,00	0,00
